,Nz,figure,height,id,maxX,maxY,maxZ,minX,minY,minZ,oid,width,gabasynapse,glutsynapse,shaft,ConsensusNotSynapse,nofigure,edgesynapse,enface synapse,PSD positive,comments FC,comments MN
15,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/591.png,334.0,15,6693.0,6377.0,26,6304.0,6044.0,20,591,390.0,0,TRUE,0,0,FALSE,,,,,
16,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/593.png,365.0,16,6771.0,5903.0,23,6413.0,5539.0,17,593,359.0,0,TRUE,1,0,FALSE,,,0,,"strange looking vessicles, weird presynaptic bouton"
17,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/595.png,356.5,17,6713.0,6181.8,18,6391.7,5826.3,13,595,322.3,0,TRUE,0,0,FALSE,,,,,
18,7,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/597.png,352.0,18,6907.0,6205.0,23,6495.0,5854.0,16,597,413.0,0,TRUE,0,0,FALSE,,,,,
19,3,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/599.png,354.0,19,6511.0,6369.0,22,6092.0,6016.0,19,599,420.0,1,FALSE,0,0,FALSE,,1,0,split,
20,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/601.png,296.0,20,6477.0,6355.0,20,6103.0,6060.0,15,601,375.0,0,TRUE,0,0,FALSE,,,,,
21,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/603.png,336.0,21,6379.0,6001.0,20,6016.0,5666.0,16,603,364.0,0,TRUE,1,0,FALSE,,1,0,,
22,9,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/605.png,358.0,22,6613.0,6159.0,26,6185.0,5802.0,17,605,429.0,0,TRUE,0,0,FALSE,,,,,
23,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/607.png,331.0,23,7255.0,6023.0,26,6963.0,5693.0,21,607,293.0,0,TRUE,0,0,FALSE,,,0.5,,faint PSD signal
24,10,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/609.png,338.0,24,7619.0,5843.0,38,7114.0,5506.0,28,609,506.0,0,TRUE,0,0,FALSE,,,,,
25,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/611.png,377.0,25,7413.0,5697.0,38,6994.0,5321.0,33,611,420.0,0,TRUE,1,0,FALSE,,,,,
26,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/613.png,364.0,26,7293.0,5399.0,41,6914.0,5036.0,35,613,380.0,0,TRUE,1,0,FALSE,,,,,
27,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/615.png,394.0,27,6833.0,5447.0,43,6430.0,5054.0,39,615,404.0,0,TRUE,1,0,FALSE,,,,,
28,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/617.png,392.6,28,6428.7,5412.0,5,6030.4,5020.4,1,617,399.3,0,TRUE,0,1,FALSE,,,0,not a synapse. bouton and spine have nearby synapses,
29,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/619.png,317.0,29,6595.0,5383.0,21,6262.0,5067.0,17,619,334.0,0,TRUE,0,0,FALSE,,,,,
30,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/621.png,355.6,30,6181.0,5781.6,51,5850.0,5427.0,45,621,332.0,0,TRUE,0,0,FALSE,,,,,
31,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/623.png,340.0,31,6861.0,5387.0,37,6446.0,5048.0,31,623,416.0,0,TRUE,1,0,FALSE,,,,,
32,7,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/625.png,329.8,32,6920.3,5505.6,9,6543.4,5176.8,2,625,377.8,1,FALSE,1,0,FALSE,,,0,,
33,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/627.png,328.7,33,7712.6,5865.6,6,7396.7,5537.9,2,627,317.0,0,TRUE,0,0,FALSE,,,,,
34,12,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/629.png,360.5,34,7178.8,6229.5,20,6734.7,5870.0,8,629,445.1,0,TRUE,0,0,FALSE,,,,,
35,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/631.png,294.8,35,7547.0,6402.6,13,7210.9,6108.7,8,631,337.0,0,TRUE,0,0,FALSE,,,0,,"tiny synapse, axo spinus"
36,8,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/633.png,359.0,36,7380.6,5885.0,18,6998.6,5527.0,10,633,383.0,0,TRUE,0,0,FALSE,,,,,
37,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/635.png,327.0,37,7415.0,5629.0,20,7124.0,5303.0,15,635,292.0,0,TRUE,0,0,FALSE,,,,,
38,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/637.png,290.0,38,7665.0,5707.0,22,7293.0,5418.0,17,637,373.0,0,TRUE,0,0,FALSE,,,,,
39,7,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/639.png,336.6,39,7669.0,5515.6,20,7341.3,5179.9,13,639,328.7,0,TRUE,0,0,FALSE,,,,,
40,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/641.png,320.0,40,7617.0,5101.0,34,7277.0,4782.0,28,641,341.0,0,TRUE,0,0,FALSE,,,,,
41,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/643.png,379.0,41,7700.0,5183.0,34,7368.0,4805.0,29,643,333.0,0,TRUE,0,0,FALSE,,,,,
42,9,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/645.png,413.0,42,7887.0,5607.0,21,7519.0,5195.0,12,645,369.0,0,TRUE,0,0,FALSE,,,,,
43,9,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/647.png,337.5,43,7882.1,5776.1,8,7472.6,5439.6,-1,647,410.6,0,TRUE,0,0,FALSE,,,,,
44,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/649.png,307.0,44,7069.0,5415.0,39,6726.0,5109.0,34,649,344.0,0,TRUE,1,0,FALSE,,,,,
45,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/651.png,327.0,45,7149.0,5147.0,29,6853.0,4821.0,24,651,297.0,0,TRUE,0,0,FALSE,,,0.5,,"small synapse, axo spine, some feint PSD signal"
46,9,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/653.png,350.0,46,7659.0,5295.0,34,7235.0,4946.0,25,653,425.0,1,FALSE,1,0,FALSE,,,,,
47,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/655.png,333.0,47,7501.0,5157.0,23,7128.0,4825.0,17,655,374.0,0,TRUE,0,0,FALSE,,,,,
48,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/657.png,361.6,48,7265.1,5142.6,5,6853.2,4781.9,-1,657,412.9,0,TRUE,0,0,FALSE,,,,,
49,7,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/659.png,321.7,49,7280.1,5109.8,17,6956.0,4789.1,10,659,325.0,0,TRUE,0,0,FALSE,,,,,
50,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/661.png,350.0,50,7343.0,5353.0,25,6938.0,5004.0,19,661,406.0,0,TRUE,1,0,FALSE,,,,,
51,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/663.png,359.0,51,7405.0,5587.0,35,7044.0,5229.0,29,663,362.0,0,TRUE,0,0,FALSE,,,,,
52,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/665.png,310.0,52,7201.0,5851.0,31,6849.0,5542.0,26,665,353.0,0,TRUE,0,0,FALSE,,,,,
53,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/667.png,348.5,53,6984.7,6056.5,16,6667.6,5708.9,10,667,318.0,0,TRUE,0,0,FALSE,,,,,
54,8,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/669.png,366.5,54,7036.9,5764.1,8,6603.4,5398.7,0,669,434.5,0,TRUE,1,0,FALSE,,,,,
55,7,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/671.png,385.8,55,7048.7,6091.0,6,6737.8,5706.2,-1,671,311.9,0,TRUE,0,0,FALSE,,,,,
56,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/673.png,341.6,56,6816.6,6018.7,12,6453.6,5678.1,7,673,364.0,0,TRUE,0,0,FALSE,,,,,
57,9,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/675.png,343.6,57,6880.6,5923.2,11,6434.5,5580.7,2,675,447.1,0,TRUE,0,0,FALSE,,,,,
58,9,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/677.png,380.4,58,6770.9,6465.2,13,6337.9,6085.8,4,677,434.0,1,FALSE,1,0,FALSE,,,,,
59,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/679.png,364.5,59,6652.8,6271.3,13,6285.7,5907.8,9,679,368.0,0,TRUE,0,0,FALSE,,,,,
60,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/681.png,329.6,60,6378.8,6398.5,10,6014.8,6069.9,5,681,365.0,0,TRUE,1,0,FALSE,,,,,
61,8,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/683.png,403.7,61,6332.9,6269.5,8,5983.3,5866.9,0,683,350.6,0,TRUE,0,0,FALSE,,,,,
62,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/685.png,312.2,62,6552.1,5968.6,4,6192.2,5657.4,-1,685,360.9,0,TRUE,0,1,FALSE,1,,0,edge candidate,not a synapse
63,10,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/687.png,295.0,63,6293.0,5939.0,27,5889.0,5645.0,17,687,405.0,0,TRUE,0,0,FALSE,,,,,
64,9,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/689.png,349.5,64,6396.6,6185.7,17,5982.6,5837.2,8,689,415.0,0,TRUE,0,0,FALSE,,,,,
65,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/691.png,317.7,65,6698.6,5980.9,13,6329.6,5664.2,9,691,370.0,0,TRUE,0,0,FALSE,,,,,
66,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/693.png,326.7,66,6728.4,5746.2,16,6424.4,5420.6,12,693,305.0,0,TRUE,0,0,FALSE,,,1,just miss psd,has PSD signal
67,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/695.png,336.0,67,6729.0,5323.0,34,6388.0,4988.0,30,695,342.0,0,TRUE,1,1,FALSE,,,0,no axon. Nearby synapse onto dendrite from maybe axon that was thought,not a synapse
68,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/697.png,345.6,68,6374.3,5642.8,16,6020.3,5298.2,11,697,355.0,0,TRUE,0,0,FALSE,,,,,
69,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/699.png,346.0,69,6395.0,5295.0,44,5963.0,4950.0,39,699,433.0,0,TRUE,1,0,FALSE,,,,,
70,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/701.png,343.6,70,6174.2,5493.6,15,5828.1,5151.0,10,701,347.0,0,TRUE,0,0,FALSE,,,,,
71,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/703.png,348.0,71,6447.0,5529.0,40,6048.0,5182.0,35,703,400.0,1,FALSE,1,0,FALSE,,,,,
72,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/705.png,337.0,72,6197.0,5633.0,43,5831.0,5297.0,37,705,367.0,0,TRUE,0,0,FALSE,,,,,
73,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/707.png,316.0,73,6495.0,5907.0,29,6125.0,5592.0,24,707,371.0,0,TRUE,0,0,FALSE,,,,,
74,7,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/709.png,377.0,74,6697.0,5887.0,35,6293.0,5511.0,28,709,405.0,0,TRUE,0,0,FALSE,,,,,
75,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/711.png,330.0,75,6599.0,5744.0,20,6226.0,5415.0,15,711,374.0,0,TRUE,0,0,FALSE,,,1,near miss,has PSD signal
76,11,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/713.png,524.0,76,6507.0,5695.0,41,6127.0,5172.0,30,713,381.0,1,FALSE,1,0,FALSE,,,,,
77,7,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/715.png,362.0,77,6751.0,5139.0,36,6366.0,4778.0,29,715,386.0,0,TRUE,0,0,FALSE,,,,,
78,7,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/717.png,347.0,78,7245.0,5278.0,45,6849.0,4932.0,38,717,397.0,0,TRUE,0,0,FALSE,,,,,
79,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/719.png,369.2,79,7197.0,5249.2,51,6875.2,4881.0,46,719,322.8,0,TRUE,0,0,FALSE,,,,,
80,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/721.png,302.2,80,6745.8,5308.2,51,6403.0,5007.0,46,721,343.8,0,TRUE,0,0,FALSE,1,,0,edge,tiny
81,8,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/723.png,358.0,81,6711.0,5277.0,46,6353.0,4920.0,38,723,359.0,0,TRUE,0,0,FALSE,,,,,
82,9,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/725.png,326.3,82,7061.0,5352.3,51,6623.2,5027.0,42,725,438.8,0,TRUE,0,0,FALSE,,,,,
83,7,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/727.png,378.0,83,7074.0,5760.0,43,6714.0,5383.0,36,727,361.0,1,FALSE,1,0,FALSE,,,,,
84,42,,552.1,84,6881.0,5715.0,44,6073.4,5163.9,2,729,808.6,0,TRUE,0,0,TRUE,,,,,
85,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/731.png,354.0,85,6309.5,5615.6,4,5921.3,5262.6,-1,731,389.1,0,TRUE,0,0,FALSE,,,,,
86,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/733.png,381.3,86,6691.2,5668.1,3,6328.0,5287.8,-1,733,364.2,0,TRUE,0,0,FALSE,,,,,
87,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/735.png,335.0,87,7457.0,5363.0,28,7086.0,5029.0,24,735,372.0,0,TRUE,0,0,FALSE,,,,,
88,8,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/737.png,413.0,88,7035.0,5583.0,28,6689.0,5171.0,20,737,347.0,0,TRUE,0,0,FALSE,,,,,
89,8,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/739.png,323.0,89,7147.0,5515.0,23,6759.0,5193.0,15,739,389.0,0,TRUE,1,0,FALSE,,,,,
90,10,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/741.png,393.3,90,7035.5,5640.8,9,6667.4,5248.6,-1,741,369.1,1,FALSE,0,0,FALSE,,,,,
91,7,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/743.png,360.5,91,6886.3,5543.4,15,6523.2,5183.9,8,743,364.1,0,TRUE,1,0,FALSE,,,,,
92,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/745.png,282.1,92,7068.2,5074.9,3,6752.2,4793.8,-1,745,317.0,0,TRUE,0,0,FALSE,,,,,
93,11,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/747.png,369.0,93,6977.0,5226.0,38,6507.0,4858.0,27,747,471.0,0,TRUE,0,0,FALSE,,,,,
94,7,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/749.png,342.0,94,6733.0,5213.0,31,6393.0,4872.0,24,749,341.0,0,TRUE,1,0,FALSE,,,,,
95,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/751.png,312.0,95,6624.0,5143.0,26,6242.0,4832.0,20,751,383.0,0,TRUE,1,0,FALSE,,,,,
96,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/753.png,354.5,96,6459.0,5143.6,8,6097.9,4790.1,4,753,362.0,0,TRUE,1,0,FALSE,,,,,
97,9,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/755.png,343.3,97,6493.0,5204.3,20,6091.0,4862.0,11,755,403.0,0,TRUE,1,0,FALSE,,,,,
98,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/757.png,330.0,98,6426.0,5148.0,39,6059.0,4819.0,33,757,368.0,0,TRUE,0,1,FALSE,,,0,,
99,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/759.png,323.0,99,6355.0,5222.0,37,6046.0,4900.0,31,759,310.0,0,TRUE,0,0,FALSE,,,,,
100,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/761.png,330.0,100,6275.0,5301.0,46,5966.0,4972.0,41,761,310.0,0,TRUE,0,0,FALSE,,,,,
101,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/763.png,308.0,101,6508.0,5087.0,41,6194.0,4780.0,36,763,315.0,0,TRUE,0,0,FALSE,,,,,
102,7,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/765.png,337.0,102,6352.0,5094.0,42,6042.0,4758.0,35,765,311.0,0,TRUE,1,0,FALSE,,,,,
103,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/767.png,341.0,103,6157.0,5122.0,43,5847.0,4782.0,37,767,311.0,0,TRUE,1,1,FALSE,,,0,no vescicles in axon. maybe not axon,
104,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/769.png,293.0,104,6480.0,5198.0,47,6121.0,4906.0,42,769,360.0,0,TRUE,0,0,FALSE,,,,,
105,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/771.png,291.4,105,6245.2,5330.4,51,5903.0,5040.0,47,771,343.2,0,TRUE,0,0,FALSE,1,,0,edge,tiny synapse
106,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/773.png,320.7,106,6324.1,5347.4,10,5934.1,5027.7,4,773,391.0,0,TRUE,0,0,FALSE,,,,,
107,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/775.png,366.1,107,6304.0,5169.4,8,5903.1,4804.3,2,775,401.8,0,TRUE,1,0,FALSE,,,,,
108,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/777.png,355.2,108,6409.0,5491.4,5,6062.9,5137.2,-1,777,347.1,0,TRUE,0,0,FALSE,,,,,
109,3,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/779.png,390.0,109,7155.0,7492.0,25,6792.0,7103.0,22,779,364.0,1,FALSE,0,0,FALSE,,1,0,,
110,8,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/781.png,375.0,110,6985.0,7498.0,50,6559.0,7124.0,42,781,427.0,0,TRUE,1,0,FALSE,,,,,
111,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/783.png,344.0,111,6913.0,7586.0,36,6540.0,7243.0,32,783,374.0,0,TRUE,0,0,FALSE,,,,,
112,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/785.png,317.0,112,7167.0,7466.0,30,6827.0,7150.0,24,785,341.0,0,TRUE,0,0,FALSE,,,,,
113,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/787.png,350.0,113,7039.0,7114.0,44,6705.0,6765.0,38,787,335.0,0,TRUE,0,1,FALSE,,,0,onto a glial cell,not a synapse
114,7,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/789.png,352.5,114,7061.3,6994.2,15,6719.3,6642.7,8,789,343.0,0,TRUE,0,0,FALSE,,,,,
115,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/791.png,413.0,115,6703.0,7562.0,49,6381.0,7150.0,43,791,323.0,0,TRUE,1,0,FALSE,,,0,,
116,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/793.png,378.0,116,6459.0,7160.0,28,6014.0,6783.0,22,793,446.0,0,TRUE,0,0,FALSE,,,,,
117,8,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/795.png,362.0,117,7177.0,7084.0,26,6769.0,6723.0,18,795,409.0,0,TRUE,1,1,FALSE,,,0,shaft synapse? maybe not a synapse?,not a synapse
118,8,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/797.png,410.0,118,7239.0,7022.0,22,6859.0,6613.0,14,797,381.0,0,TRUE,0,0,FALSE,,,,,
119,7,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/799.png,320.0,119,6839.0,7466.0,37,6465.0,7147.0,30,799,375.0,0,TRUE,0,0,FALSE,,,,,
120,7,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/801.png,340.6,120,6729.6,7580.9,16,6307.6,7241.3,9,801,423.0,0,TRUE,0,0,FALSE,,,,,
121,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/803.png,362.0,121,6291.0,7124.0,39,5899.0,6763.0,33,803,393.0,0,TRUE,0,0,FALSE,,,,,
122,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/805.png,367.1,122,7497.0,7079.1,51,7117.0,6713.0,45,805,381.0,1,FALSE,0,0,FALSE,,,,,
123,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/807.png,332.0,123,7213.0,6904.0,32,6860.0,6573.0,27,807,354.0,0,TRUE,0,0,FALSE,,,,,
124,7,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/809.png,344.0,124,7009.0,7208.0,42,6650.0,6865.0,35,809,360.0,0,TRUE,0,0,FALSE,,,,,
125,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/811.png,306.0,125,6867.0,7022.0,49,6507.0,6717.0,45,811,361.0,0,TRUE,0,0,FALSE,,,0,,"hard to tell, some fused vesicles, but is so tiny..."
126,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/813.png,421.0,126,6541.0,6416.0,34,6068.0,5996.0,29,813,474.0,1,FALSE,0,0,FALSE,,,,,
127,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/815.png,312.7,127,6646.8,6353.8,11,6288.8,6042.1,6,815,359.0,1,FALSE,1,0,FALSE,,,,,
128,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/817.png,337.0,128,6345.0,7548.0,40,5934.0,7212.0,34,817,412.0,0,TRUE,0,0,FALSE,,,,,
129,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/819.png,366.0,129,6585.0,7446.0,40,6196.0,7081.0,35,819,390.0,0,TRUE,0,0,FALSE,,,,,
130,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/821.png,342.0,130,6509.0,7156.0,42,6172.0,6815.0,38,821,338.0,0,TRUE,1,0,FALSE,,,,,
131,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/823.png,334.0,131,6521.0,7070.0,42,6162.0,6737.0,37,823,360.0,0,TRUE,1,0,FALSE,,,,,
132,7,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/825.png,352.7,132,6397.0,7264.7,51,6008.0,6913.0,44,825,390.0,0,TRUE,0,0,FALSE,,,,,
133,8,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/827.png,297.0,133,6377.0,7030.0,51,6009.0,6734.0,43,827,369.0,0,TRUE,0,0,FALSE,,,,,
134,10,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/829.png,381.0,134,6865.0,6820.0,51,6447.0,6440.0,41,829,419.0,0,TRUE,1,0,FALSE,,,,,
135,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/831.png,383.0,135,6265.0,6674.0,51,5952.0,6292.0,45,831,314.0,0,TRUE,0,0,FALSE,,,,,
136,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/833.png,394.3,136,6421.5,7435.7,10,6066.4,7042.4,5,833,356.1,1,FALSE,1,0,FALSE,,,,,
